Speech Rate,Voice Onset Rapidity,Jitter,Pitch Range,Filepath,Contributor,Label
151.99908088235293,0.0003100158,0.050954554,3846.3223,C:\Users\Rajarshi Das\Repo Behavioral Pattern Analysis\Speech Features Extraction\Input\F_02_MONIKA_S_9_ANGRY_5.wav,MONIKA,ANGRY
234.90767045454547,1.1782314e-08,0.017502524,3831.3086,C:\Users\Rajarshi Das\Repo Behavioral Pattern Analysis\Speech Features Extraction\Input\M_05_DURANTO_S_9_ANGRY_4.wav,DURANTO,ANGRY
198.76802884615384,-8.268852e-09,0.04861747,3848.8708,C:\Users\Rajarshi Das\Repo Behavioral Pattern Analysis\Speech Features Extraction\Input\F_07_TITHI_S_4_ANGRY_5.wav,TITHI,ANGRY
112.34714673913044,0.0014958878,0.027997682,3853.088,C:\Users\Rajarshi Das\Repo Behavioral Pattern Analysis\Speech Features Extraction\Input\F_09_CHAITY_S_8_ANGRY_2.wav,CHAITY,ANGRY
184.5703125,-1.37814204e-08,0.0227511,3852.2795,C:\Users\Rajarshi Das\Repo Behavioral Pattern Analysis\Speech Features Extraction\Input\F_07_TITHI_S_9_ANGRY_5.wav,TITHI,ANGRY
129.19921875,2.9285518e-09,0.018204898,3772.3225,C:\Users\Rajarshi Das\Repo Behavioral Pattern Analysis\Speech Features Extraction\Input\F_07_TITHI_S_9_DISGUST_1.wav,TITHI,DISGUST
184.5703125,-2.2050273e-08,0.019106107,3847.2283,C:\Users\Rajarshi Das\Repo Behavioral Pattern Analysis\Speech Features Extraction\Input\F_02_MONIKA_S_2_DISGUST_2.wav,MONIKA,DISGUST
161.4990234375,0.0026930708,0.02700151,3843.4272,C:\Users\Rajarshi Das\Repo Behavioral Pattern Analysis\Speech Features Extraction\Input\F_01_OISHI_S_4_DISGUST_1.wav,OISHI,DISGUST
151.99908088235293,-1.6537705e-08,0.0100008035,3849.971,C:\Users\Rajarshi Das\Repo Behavioral Pattern Analysis\Speech Features Extraction\Input\F_03_SMITA_S_7_DISGUST_5.wav,SMITA,DISGUST
143.5546875,1.52477e-08,0.019873593,3848.4614,C:\Users\Rajarshi Das\Repo Behavioral Pattern Analysis\Speech Features Extraction\Input\M_06_SHUKANTO_S_6_DISGUST_1.wav,SHUKANTO,DISGUST
